configuration_accession,modality,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,stage,reason,message
IGVFFI5175BWTJ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8995SHKK,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well1A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI5208SSVS,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI5232ZSEB,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS3945FAEL,,Perturb-seq,charles-gersbach:IGVFFI0583TWJA_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D3_S12_L001_R1_001.fastq.gz'.
IGVFFI5236EKFS,rna,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS0203CRBT,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_3971_seqspec,0.3.0,0.4.0,enumerate_files,seqspec_file_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI5236EKFS/@@download/IGVFFI5236EKFS.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI5266PRIM,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS3255PUEZ,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_DNA_day12_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI5311JMAJ,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0571IOSL,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_RNA_day8_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI5385LMPX,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS8101YKZJ,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day0_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI5387RDET,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3354HRNG,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well1F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI5434WWKW,,"Charles Gersbach, Duke",Ruhi Rai,functional characterization,IGVFDS0886UBIB,in vitro CRISPR screen using single-cell RNA-seq,Perturb-seq,charles-gersbach:hPA-Seqspec-perturbseq-10xlane1-GEX-L2,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI5445WDIC,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7957FMTV,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well1G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI5498YIRG,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9396DKRN,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well1B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI5797AMGJ,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2392JXXP,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_DNA_day20_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
