configuration_accession,modality,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,stage,reason,message
IGVFFI0055XEHV,,"Gary Hon, UT",Mpathi Nzima,functional characterization,IGVFDS2739QDQI,,Perturb-seq,gary-hon:seqspec_IGVFFI3294VBIM_hto,,,seqspec_version,seqspec_version_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI0055XEHV/@@download/IGVFFI0055XEHV.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI0110WYBL,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS6935HPTC,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day20_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI0212ZPUD,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS0993OMZM,,Perturb-seq,charles-gersbach:IGVFFI8366TCMN_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D2_S11_L002_R1_001.fastq.gz'.
IGVFFI0226HJUA,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0953UCYV,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_RNA_day20_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI0259MQIB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2094FEUN,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well3E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0282ROMN,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS8029DSPH,,Perturb-seq,charles-gersbach:IGVFFI2071NCQF_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D1_S7_L003_R1_001.fastq.gz'.
IGVFFI0464XYHE,rna,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS2013EJJF,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,enumerate_files,seqspec_file_error,Input source does not exist: https://api.data.igvf.org/configuration-files/IGVFFI0464XYHE/@@download/IGVFFI0464XYHE.yaml.gz
IGVFFI0580VOOX,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3808LOFN,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well3E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0632NLGY,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8070VJML,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well3H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0711ZNGR,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3090WWIX,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well2D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0721PRUY,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS1500XNWW,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day18_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI0744UOFD,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2513FWFN,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day2_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI0805GKFP,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4650RNVG,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well3D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0829KXQE,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS1683YYFI,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day8_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI0932SZUE,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4662KYNQ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well1B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI0974LZEY,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS7581EZJY,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_RNA_day18_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI1005FOWV,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3553ZJQF,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well1C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1017KMXC,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS0993OMZM,,Perturb-seq,charles-gersbach:IGVFFI0118MWHA_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D2_S11_L003_R2_001.fastq.gz'.
IGVFFI1020QDUF,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2656XTWC,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well1H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1023PKKD,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS5419YEKW,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well2F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1030KTJT,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0243MHJN,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well1E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1084WEYX,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7662XTXQ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well3B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1104KWFE,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS6279CXNE,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well2G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1140RTRD,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7629CSHA,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well2C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1163NTEB,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3522HGSO,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,enumerate_modalities,seqspec_info_error,curl exited with status exit status: 56 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI1163NTEB/@@download/IGVFFI1163NTEB.yaml.gz': curl: (56) Recv failure: Connection reset by peer
IGVFFI1210FJUE,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS7261GFNR,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day10_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI1214OQUS,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4530KJDP,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well1G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1222RTZK,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8317FBQH,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well2A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1236VKWJ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8670QYHC,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well1B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1283YGRA,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4694HRMW,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well1F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1295NMTE,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS9180FTLB,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well3B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1295VRJD,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS6958XKQR,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well1D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1333FBJB,,"Charles Gersbach, Duke",Ruhi Rai,functional characterization,IGVFDS1645YFQD,,Perturb-seq,charles-gersbach:hPA-Seqspec-perturbseq-10xlane2-CRISPR-L1,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI1421VVAV,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2196VDLS,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well2B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1426OVDM,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI1459PJZV,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS8017QBHO,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part1_bulk_RNA_day16_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI1471UJSK,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS0591VNKJ,,Perturb-seq,charles-gersbach:IGVFFI4640NSBO_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D3_S9_L001_R2_001.fastq.gz'.
IGVFFI1496JSDK,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS3729YOSL,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day6_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI1500BGEY,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS6740RMZS,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_DNA_day18_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI1697HTAO,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS2290VBBK,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day2_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI1742ECFU,,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3954CPHQ,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,,,seqspec_version,seqspec_version_error,curl exited with status exit status: 56 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI1742ECFU/@@download/IGVFFI1742ECFU.yaml.gz': curl: (56) Recv failure: Connection reset by peer
IGVFFI1770CZKN,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8966FJDC,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well1C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1895RXKI,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS5335NRCO,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_RNA_day6_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI1902BOBB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2175LMUN,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well3C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1904EHGA,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2366POUA,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well2H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1951KUHO,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4076VACJ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well2B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1952ORFS,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1057ONAY,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well3D_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI1962ENBB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4577RXBE,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well3B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2009OMMO,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4071LAKQ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well1A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2071AEQQ,rna,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1677SYVP,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_1552_seqspec_fixed,0.3.0,0.4.0,enumerate_files,seqspec_file_error,curl exited with status exit status: 35 while reading 'https://api.data.igvf.org/configuration-files/IGVFFI2071AEQQ/@@download/IGVFFI2071AEQQ.yaml.gz': curl: (35) Recv failure: Connection reset by peer
IGVFFI2091YTXQ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7686FPYT,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well2B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2114ZVWD,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS9853FXPT,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day4_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2118VKEC,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS8866RORL,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well1H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2120GSTQ,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS6355YALJ,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day4_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2123ETGQ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS6709DBRD,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well1F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2140TPGZ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3021XFGL,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well1E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2187DRZI,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0478ODXL,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well3C_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2212EHNM,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2960HUKY,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well1A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2235COCR,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0758TNOI,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well2H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2258FSRU,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0792FVAK,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_rep2B_part2_bulk_RNA_day20_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2259SIES,,"Charles Gersbach, Duke",Ruhi Rai,functional characterization,IGVFDS4521RIQF,in vitro CRISPR screen using single-cell RNA-seq,Perturb-seq,charles-gersbach:hPA-Seqspec-perturbseq-10xlane4-GEX-L1,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2290AZYK,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS6051XFAQ,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_RNA_day12_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2302GACJ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1152PFCO,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well2E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2324DIUJ,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS0200DGEO,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day0_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2396FLZM,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3771VKHG,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well3F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2398VFGX,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4059GHFL,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well1A_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2418ERHU,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS3945FAEL,,Perturb-seq,charles-gersbach:IGVFFI2494UMAV_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D3_S12_L003_R1_001.fastq.gz'.
IGVFFI2424YSFE,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS9455REXF,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day20_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2429KBGN,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS9108NLTS,,Perturb-seq,charles-gersbach:IGVFFI0439ROZG_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRa_D1_S10_L001_R2_001.fastq.gz'.
IGVFFI2442UPCW,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS2399UCGA,,Perturb-seq,charles-gersbach:IGVFFI0543IRBP_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D2_S8_L001_R1_001.fastq.gz'.
IGVFFI2445SYNW,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7110APFU,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well3F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2450CFEL,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS3480ASIH,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_DNA_day14_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2478MGCT,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS0502FDAC,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well3B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2482JJVC,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS4952VFOW,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_DNA_day10_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2498IYBK,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1187GCXF,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well1G_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2555LYIA,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS2136XBBM,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS701_well1E_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2574ZRKS,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI2592RERK,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS9342OPKS,massively parallel reporter assay,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_RNA_day16_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2600NHVE,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS1901ZTNW,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS706_well2F_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2628YRKX,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS5593DCWO,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS702_well2B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2691EYWQ,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS4428PPJQ,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS705_well2H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2791HITN,crispr,"Charles Gersbach, Duke",Ian Whaling,functional characterization,IGVFDS0591VNKJ,,Perturb-seq,charles-gersbach:IGVFFI8457AABW_v0.3.0_upgraded,0.3.0,0.4.0,resolve_fastqs,missing_fastq_metadata,Could not resolve FASTQ metadata for expected file '/data/reddylab/Alex/collab/20220523_Sean/data/sc_rna_seq/fastq/gRNA_CRISPRi_D3_S9_L002_R1_001.fastq.gz'.
IGVFFI2798MXIX,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS7373LMEP,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS704_well3H_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
IGVFFI2813RCVG,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS6212LCHT,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repB_bulk_DNA_day12_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2839IPDU,,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS9987GJPC,,MPRA,jay-shendure:seqspec_of_dev_CRE_mEBs_repA_bulk_DNA_day4_reads,,,seqspec_version,malformed_seqspec_yaml,Could not read values.
IGVFFI2982KSVM,,,,,,,,,,,worker,unhandled_exception,Expecting value: line 1 column 1 (char 0)
IGVFFI3035AGUB,,"Maya Kasowski, Stanford",Shouvik Mani,mapping,IGVFDS3819RGYL,single-nucleus ATAC-seq,10x snATAC-seq with Scale pre-indexing,maya-kasowski:Scale_scATAC_laneS703_well2B_seqspec,,,sequence_files,no_fastq_sequence_files,Configuration file has no linked FASTQ sequence files.
