configuration_accession,modality,modality_count,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,requested_reads,requested_reads_total,expected_fastq_count,supplied_fastq_count,controlled_access,report_path,run_status,pass_count,warning_count,error_count,interpretation_count
IGVFFI0502CXLP,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS0046XBVO,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_4022_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0502CXLP/atac.json,cached,15,6,0,10
IGVFFI0502FRVI,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS8664VJYP,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8819_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0502FRVI/atac.json,cached,15,6,0,10
IGVFFI0503YXVJ,tag,1,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS3259WGKQ,,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp1_multi_10x1_NGS2,0.3.0,0.4.0,10000,30000,3,3,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0503YXVJ/tag.json,cached,16,4,0,3
IGVFFI0504LOJS,crispr,1,"Charles Gersbach, Duke",Alejandro Barrera,functional characterization,IGVFDS3356BMAY,,Perturb-seq,charles-gersbach:mhc-perturb-seq-ipsc-p300-grna3-seqspec,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0504LOJS/crispr.json,cached,12,3,0,2
IGVFFI0505HZQD,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS7331YEQR,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8492_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0505HZQD/atac.json,cached,15,6,0,10
IGVFFI0507JDDY,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3991RWMW,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_1633_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0507JDDY/atac.json,cached,13,5,0,9
IGVFFI0507VMAU,atac,1,"Leif Ludwig, MDC",Ludwig Lab,mapping,IGVFDS4161KHEP,single-cell ATAC-seq,mtscMultiome,leif-ludwig:measurement2308509010_scATAC_L002_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0507VMAU/atac.json,cached,14,2,0,4
IGVFFI0510PVAS,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS9312DVIC,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0510PVAS/rna.json,cached,14,5,0,3
IGVFFI0510SGSC,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS5169NLGU,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8809_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0510SGSC/atac.json,cached,15,6,0,10
IGVFFI0512IBUB,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS7055SHHA,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI0512IBUB/atac.json,cached,18,2,0,5
