configuration_accession,modality,modality_count,lab,submitted_by,award_component,file_set_accession,assay_term,preferred_assay_titles,aliases,raw_seqspec_version,normalized_seqspec_version,requested_reads,requested_reads_total,expected_fastq_count,supplied_fastq_count,controlled_access,report_path,run_status,pass_count,warning_count,error_count,interpretation_count
IGVFFI4769NTTH,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS1106CBKV,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4769NTTH/rna.json,cached,18,3,0,2
IGVFFI4770LJMD,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS8614EBXF,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4770LJMD/rna.json,cached,19,3,0,5
IGVFFI4773LVLF,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS5733DNRB,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4773LVLF/atac.json,cached,18,2,0,5
IGVFFI4777HQQR,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS7306JAVN,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4777HQQR/atac.json,cached,18,2,0,5
IGVFFI4777IGQI,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS1524WKTN,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4777IGQI/atac.json,cached,18,2,0,5
IGVFFI4777PIQH,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5248FZWM,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4777PIQH/rna.json,cached,14,5,0,3
IGVFFI4777PXWS,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS1813UKUP,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4777PXWS/rna.json,cached,14,5,0,3
IGVFFI4778GLOJ,crispr,1,"Thomas Quertermous, Stanford",Chongyon Park,functional characterization,IGVFDS7710XZJO,,TAP-seq,thomas-quertermous:HCASMC2105_dCas9KRABzim3_TAPseq_large_configuration_files_guide_seqspec_10xlane4,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4778GLOJ/crispr.json,cached,18,7,0,2
IGVFFI4779ZRYB,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS6366OVBK,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4779ZRYB/rna.json,cached,14,5,0,3
IGVFFI4780PQMP,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS9664AFSO,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_4030_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4780PQMP/atac.json,cached,15,6,0,10
IGVFFI4783CJVS,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS1552RFWJ,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4783CJVS/rna.json,cached,14,5,0,3
IGVFFI4783ZSQB,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5449NHFC,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4783ZSQB/rna.json,cached,14,5,0,3
IGVFFI4784ASQG,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS2066AADV,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4784ASQG/atac.json,cached,18,2,0,5
IGVFFI4785KVUU,rna,1,"Charles Gersbach, Duke",Alejandro Barrera,functional characterization,IGVFDS4478DUNZ,in vitro CRISPR screen using single-cell RNA-seq,Perturb-seq,charles-gersbach:mhc-perturb-seq-ipsc-p300-expr12-run1-lane1-rna-seqspec-config-file,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4785KVUU/rna.json,cached,10,1,0,2
IGVFFI4785VBQE,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS6418RIAE,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4785VBQE/rna.json,cached,14,5,0,3
IGVFFI4785ZDIP,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS3466DKVY,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4785ZDIP/atac.json,cached,18,2,0,5
IGVFFI4786GXIP,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS7886YBBF,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4786GXIP/atac.json,cached,18,2,0,5
IGVFFI4786OGUM,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS6356BAJX,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4786OGUM/rna.json,cached,14,5,0,3
IGVFFI4786TZFR,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS5800WXVK,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4786TZFR/atac.json,cached,18,2,0,5
IGVFFI4787CIHU,crispr,1,"Gary Hon, UT",Mpathi Nzima,functional characterization,IGVFDS1373ALPP,,Perturb-seq,gary-hon:seqspec_IGVFFI7495WDFC_sgrna,0.3.0,0.4.0,10000,30000,3,3,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4787CIHU/crispr.json,cached,16,9,0,8
IGVFFI4789VHVG,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS9195QXWU,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4789VHVG/rna.json,cached,14,5,0,3
IGVFFI4790EZUY,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS7038EDPA,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8598_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4790EZUY/atac.json,cached,15,6,0,10
IGVFFI4790VOBU,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3770FZRD,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4790VOBU/rna.json,cached,14,5,0,3
IGVFFI4790YDTD,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS8161SJZG,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4790YDTD/rna.json,cached,14,5,0,3
IGVFFI4791RSWN,rna,1,"Ansuman Satpathy, Stanford",Christopher Mcginnis,functional characterization,IGVFDS8133HXKO,single-nucleus RNA sequencing assay,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp16_rna_10x3_NGS3,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4791RSWN/rna.json,cached,18,3,0,2
IGVFFI4791VSPW,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS9355RKER,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4791VSPW/rna.json,cached,18,3,0,2
IGVFFI4792JCKV,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS9836XZJI,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_7388_seqspec,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4792JCKV/atac.json,cached,13,5,0,9
IGVFFI4793QLKE,tag,1,"Ansuman Satpathy, Stanford",Christopher Mcginnis,functional characterization,IGVFDS7168GITK,,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp18_multi_10x1_NGS1,0.3.0,0.4.0,10000,30000,3,3,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4793QLKE/tag.json,cached,17,3,0,3
IGVFFI4795RLHM,protein,1,"Harinder Singh, University of Pittsburgh",Nicholas Pease,networks,IGVFDS5558ZQDQ,,scRNA-seq,harinder-singh:multiplexed_perturbation_scRNAseq_20231117_FBHTO_NGS_LAF6401A21_L003_protein_seqspec,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4795RLHM/protein.json,cached,23,10,0,11
IGVFFI4796AXNQ,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4064ZVTG,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4796AXNQ/rna.json,cached,11,1,0,5
IGVFFI4796JEDZ,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS8788ZHNN,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4796JEDZ/rna.json,cached,19,3,0,5
IGVFFI4797DHGB,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS0726CKKN,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_2419_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4797DHGB/atac.json,cached,13,5,0,9
IGVFFI4797FCZZ,atac,1,"Jimmie Ye, UCSF",Marcus Alvarez,mapping,IGVFDS0426HHEU,single-nucleus ATAC-seq,10x multiome,jimmie-ye:seqspec-XX10-SC3_snATAC_S4,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4797FCZZ/atac.json,cached,18,2,0,5
IGVFFI4800CXHE,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3569UOEO,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_965_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4800CXHE/atac.json,cached,15,6,0,10
IGVFFI4800ENWN,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3548TJJM,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8510_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4800ENWN/atac.json,cached,15,6,0,10
IGVFFI4802SAGV,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS2689YHSU,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4802SAGV/rna.json,cached,14,5,0,3
IGVFFI4803EIXE,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS3804NGHA,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_890_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4803EIXE/rna.json,cached,16,6,0,10
IGVFFI4804SGLT,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS6695DKRC,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4804SGLT/atac.json,cached,18,2,0,5
IGVFFI4804XKWZ,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS8310XEDQ,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4804XKWZ/rna.json,cached,14,5,0,3
IGVFFI4806FKGO,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS6235OWZP,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_947_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4806FKGO/atac.json,cached,15,6,0,10
IGVFFI4807HXFP,atac,1,"Jimmie Ye, UCSF",Marcus Alvarez,mapping,IGVFDS9059RKEG,single-nucleus ATAC-seq,10x multiome,jimmie-ye:seqspec-XX7-SC3_snATAC_S1,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4807HXFP/atac.json,cached,18,2,0,5
IGVFFI4807NUNG,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5589QOQD,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4807NUNG/rna.json,cached,14,5,0,3
IGVFFI4808GAIJ,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS2721AQQO,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_174_seqspec,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4808GAIJ/atac.json,cached,13,5,0,9
IGVFFI4808IEQF,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS4165XBTP,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8941_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4808IEQF/atac.json,cached,15,6,0,10
IGVFFI4810HNPA,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS3360MMYI,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4810HNPA/rna.json,cached,14,5,0,3
IGVFFI4810MWNC,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS1473PTAO,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_3927_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4810MWNC/rna.json,cached,16,6,0,10
IGVFFI4811ZSSF,atac,1,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS1824DNGD,single-nucleus ATAC-seq,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp11_atac_10x4_NGS4,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4811ZSSF/atac.json,cached,18,2,0,5
IGVFFI4814CUJL,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS9100VWOR,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4814CUJL/atac.json,cached,18,2,0,5
IGVFFI4814LDDA,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS4146ZPMG,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_1631_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4814LDDA/atac.json,cached,13,5,0,9
IGVFFI4814SONC,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS1769TMSZ,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4814SONC/atac.json,cached,18,2,0,5
IGVFFI4814SOXR,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS8657TVHG,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4814SOXR/rna.json,cached,14,5,0,3
IGVFFI4816LDHH,rna,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS2883IFIK,single-cell RNA sequencing assay,SHARE-seq,buenrostro-bernstein:SS-LS_2512_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4816LDHH/rna.json,cached,14,5,0,9
IGVFFI4816XEDJ,atac,1,"Ansuman Satpathy, Stanford",Christopher Mcginnis,mapping,IGVFDS8466CGYE,single-nucleus ATAC-seq,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp3_atac_10x4_NGS2,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4816XEDJ/atac.json,cached,18,2,0,5
IGVFFI4818OPPH,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS5670FXLI,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4818OPPH/rna.json,cached,14,5,0,3
IGVFFI4819SYWS,rna,1,"Jimmie Ye, UCSF",Marcus Alvarez,mapping,IGVFDS1952MABE,single-nucleus RNA sequencing assay,10x multiome,jimmie-ye:seqspec-XX4-SC1_snRNA_S2,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4819SYWS/rna.json,cached,19,3,0,5
IGVFFI4821KVTX,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS7345JLXB,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_9143_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4821KVTX/atac.json,cached,15,7,0,9
IGVFFI4821YFSN,crispr,1,"Gary Hon, UT",Mpathi Nzima,functional characterization,IGVFDS1128FXRR,,Perturb-seq,gary-hon:seqspec_IGVFFI6212DKTA_sgrna,0.3.0,0.4.0,10000,30000,3,3,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4821YFSN/crispr.json,cached,15,10,0,8
IGVFFI4822BMWS,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS0535NZKF,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8937_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4822BMWS/atac.json,cached,15,6,0,10
IGVFFI4824PIRH,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS7609UAIN,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4824PIRH/rna.json,cached,14,5,0,3
IGVFFI4826NHHZ,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS2375PDRD,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4826NHHZ/atac.json,cached,18,2,0,5
IGVFFI4833OFBB,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS1789AOJS,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4833OFBB/atac.json,cached,18,2,0,5
IGVFFI4834KDVU,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4277JFOH,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4834KDVU/rna.json,cached,19,3,0,5
IGVFFI4837OPOU,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS9888LNVB,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4837OPOU/rna.json,cached,14,5,0,3
IGVFFI4839GEAG,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS2791OYQB,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_2599_seqspec_fixed,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4839GEAG/atac.json,cached,13,5,0,9
IGVFFI4840IEQK,atac,1,"Ansuman Satpathy, Stanford",Christopher Mcginnis,functional characterization,IGVFDS9737YNSX,single-nucleus ATAC-seq,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp17_atac_10x2_NGS2,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4840IEQK/atac.json,cached,18,2,0,5
IGVFFI4841JKUZ,rna,1,"Ansuman Satpathy, Stanford",Christopher Mcginnis,functional characterization,IGVFDS2170OFES,single-nucleus RNA sequencing assay,10x multiome with MULTI-seq,ansuman-satpathy:seqspec_igvf_exp17_rna_10x3_NGS2,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4841JKUZ/rna.json,cached,18,3,0,2
IGVFFI4842GDBV,rna,1,"Jay Shendure, UW",Beth Martin,functional characterization,IGVFDS4621HUKP,,scCRISPR screen,jay-shendure:CRISPRa_singlecell_K562_VPR_10Xlane1_seqlane2_CS1_seqspec,0.3.0,0.4.0,10000,30000,3,3,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4842GDBV/rna.json,cached,16,3,0,3
IGVFFI4842WIVI,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS7801ASCP,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4842WIVI/atac.json,cached,18,2,0,5
IGVFFI4843GZDY,rna,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS9480SSTX,single-nucleus RNA sequencing assay,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4843GZDY/rna.json,cached,18,3,0,2
IGVFFI4844BNKN,atac,1,"Jimmie Ye, UCSF",Marcus Alvarez,mapping,IGVFDS4227BKGR,single-nucleus ATAC-seq,10x multiome,jimmie-ye:seqspec-XX7-SC1_snATAC_S4,0.3.0,0.4.0,10000,40000,4,4,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4844BNKN/atac.json,cached,18,2,0,5
IGVFFI4844HJLT,atac,1,"Ryan Corces, Gladstone Institute UCSF",Ryan Corces,mapping,IGVFDS4497JHPF,single-nucleus ATAC-seq,10x multiome,,0.3.0,0.4.0,10000,40000,4,4,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4844HJLT/atac.json,cached,18,2,0,5
IGVFFI4844TGFU,atac,1,"Jason Buenrostro, Broad",Siddarth Wekhande,mapping,IGVFDS2143YNMR,single-cell ATAC-seq,SHARE-seq,buenrostro-bernstein:SS-LS_8431_seqspec,0.3.0,0.4.0,10000,30000,3,3,True,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4844TGFU/atac.json,cached,15,6,0,10
IGVFFI4845QOJM,rna,1,"Ali Mortazavi, UCI",Diane Trout,mapping,IGVFDS7908VMTV,single-nucleus RNA sequencing assay,Parse SPLiT-seq,,0.3.0,0.4.0,10000,20000,2,2,False,/Users/sinabooeshaghi/projects/seqgen/tmp/igvf_audit_full/reports/IGVFFI4845QOJM/rna.json,cached,14,5,0,3
